Name,TimeStamp
Boy_Friend,0:04:23.096167
Miss,0:04:23.096167
Boy_Friend,0:04:23.263000
Miss,0:04:23.263000
Boy_Friend,0:04:23.429833
Miss,0:04:23.429833
Miss,0:04:23.596667
Boy_Friend,0:04:23.596667
Boy_Friend,0:04:23.763500
Miss,0:04:23.763500
Miss,0:04:23.930333
Boy_Friend,0:04:23.930333
Miss,0:04:24.097167
Boy_Friend,0:04:24.097167
Miss,0:04:24.264000
Boy_Friend,0:04:24.264000
Miss,0:04:24.430833
Boy_Friend,0:04:24.430833
Miss,0:04:24.597667
Boy_Friend,0:04:24.597667
Boy_Friend,0:04:24.764500
Miss,0:04:24.764500
Boy_Friend,0:04:24.931333
Miss,0:04:24.931333
Boy_Friend,0:04:25.098167
Miss,0:04:25.098167
Boy_Friend,0:04:25.265000
Miss,0:04:25.265000
Boy_Friend,0:04:25.431833
Miss,0:04:25.431833
Boy_Friend,0:04:25.598667
Miss,0:04:25.598667
Boy_Friend,0:04:25.765500
Miss,0:04:25.765500
Boy_Friend,0:04:25.932333
Miss,0:04:25.932333
Boy_Friend,0:04:26.099167
Miss,0:04:26.099167
Boy_Friend,0:04:26.266000
Miss,0:04:26.266000
Boy_Friend,0:04:26.432833
Miss,0:04:26.432833
Boy_Friend,0:04:26.599667
Miss,0:04:26.599667
Miss,0:04:26.766500
Boy_Friend,0:04:26.933333
Miss,0:04:26.933333
Boy_Friend,0:04:27.100167
Miss,0:04:27.100167
Miss,0:04:27.267000
Miss,0:04:27.433833
Miss,0:04:27.600667
Miss,0:04:27.767500
Boy_Friend,0:04:27.934333
Miss,0:04:27.934333
Miss,0:04:28.101167
Miss,0:04:28.268000
Miss,0:04:28.434833
Miss,0:04:28.601667
Boy_Friend,0:04:28.601667
Boy_Friend,0:04:28.768500
Miss,0:04:28.768500
Miss,0:04:28.935333
Boy_Friend,0:04:29.602667
Boy_Friend,0:04:30.270000
Ardle,0:04:31.437833
Ardle,0:04:31.604667
Ardle,0:04:31.771500
Ardle,0:04:31.938333
Ardle,0:04:32.105167
Ardle,0:04:32.272000
Ardle,0:04:32.438833
Ardle,0:04:32.605667
Ardle,0:04:32.772500
Ardle,0:04:32.939333
Ardle,0:04:33.106167
Ardle,0:04:33.273000
Ardle,0:04:33.439833
Ardle,0:04:33.606667
Ardle,0:04:33.773500
Ardle,0:04:33.940333
Ardle,0:04:34.107167
Ardle,0:04:34.274000
Ardle,0:05:18.484833
Ardle,0:05:21.821500
Ardle,0:05:21.988333
Ardle,0:05:23.156167
Miss,0:05:23.156167
Ardle,0:05:23.323000
Miss,0:05:23.323000
Ardle,0:05:23.489833
Miss,0:05:23.489833
Ardle,0:05:23.656667
Miss,0:05:23.656667
Ardle,0:05:23.823500
Miss,0:05:23.823500
Ardle,0:05:23.990333
Miss,0:05:23.990333
Miss,0:05:24.157167
Miss,0:05:24.490833
Miss,0:05:24.657667
Miss,0:05:24.824500
Ardle,0:05:25.325000
Ardle,0:05:26.993333
Ardle,0:05:27.160167
Ardle,0:05:27.327000
Ardle,0:05:27.493833
Ardle,0:05:27.660667
Ardle,0:05:27.827500
Ardle,0:05:27.994333
Ardle,0:05:28.161167
Ardle,0:05:28.328000
Ardle,0:05:30.663667
Ardle,0:05:30.830500
Ardle,0:05:30.997333
Ardle,0:05:31.164167
Ardle,0:05:31.331000
Ardle,0:05:31.497833
Ardle,0:05:31.664667
Ardle,0:05:31.831500
Ardle,0:05:31.998333
Ardle,0:05:32.165167
Ardle,0:05:32.332000
Ardle,0:05:32.498833
Ardle,0:05:32.665667
Ardle,0:05:32.832500
Miss,0:05:32.999333
Miss,0:05:33.166167
Miss,0:05:33.333000
Miss,0:05:33.499833
Miss,0:05:33.666667
Miss,0:05:33.833500
Miss,0:05:34.000333
Miss,0:05:34.167167
Miss,0:05:34.334000
Miss,0:05:34.500833
Miss,0:05:34.667667
Miss,0:05:34.834500
Miss,0:05:35.001333
Miss,0:05:35.168167
Miss,0:05:35.335000
Miss,0:05:35.501833
Miss,0:05:35.668667
Miss,0:05:35.835500
Miss,0:05:36.002333
Miss,0:05:36.169167
Miss,0:05:42.675667
Miss,0:05:42.842500
Miss,0:05:43.009333
Miss,0:05:43.176167
Miss,0:05:43.676667
Miss,0:05:43.843500
Miss,0:05:44.010333
Miss,0:05:44.177167
Miss,0:05:44.344000
Miss,0:05:44.510833
Miss,0:05:44.677667
Miss,0:05:44.844500
Miss,0:05:45.011333
Miss,0:05:45.178167
Miss,0:05:45.345000
Miss,0:05:45.511833
Miss,0:05:45.678667
Miss,0:05:45.845500
Miss,0:05:46.012333
Ardle,0:05:46.179167
Ardle,0:05:46.346000
Ardle,0:05:46.512833
Ardle,0:05:46.679667
Ardle,0:05:46.846500
Ardle,0:05:47.013333
Ardle,0:05:47.180167
Ardle,0:05:47.347000
Ardle,0:05:47.513833
Ardle,0:05:47.680667
Ardle,0:05:47.847500
Ardle,0:05:48.014333
Miss,0:05:48.181167
Miss,0:05:48.348000
Miss,0:05:48.514833
Miss,0:05:48.681667
Miss,0:05:48.848500
Miss,0:05:49.015333
Miss,0:05:49.182167
Miss,0:05:49.349000
Miss,0:05:49.515833
Miss,0:05:49.682667
Miss,0:05:49.849500
Miss,0:05:50.016333
Miss,0:05:50.183167
Miss,0:05:50.350000
Miss,0:05:50.516833
Ardle,0:05:50.683667
Ardle,0:05:50.850500
Ardle,0:05:51.017333
Ardle,0:05:51.184167
Ardle,0:05:51.351000
Ardle,0:05:51.517833
Ardle,0:05:51.684667
Ardle,0:05:51.851500
Ardle,0:05:52.018333
Ardle,0:05:52.185167
Ardle,0:05:52.352000
Ardle,0:05:52.518833
Ardle,0:05:52.685667
Ardle,0:05:52.852500
Ardle,0:05:53.019333
Ardle,0:05:53.186167
Ardle,0:05:53.353000
Miss,0:05:53.686667
Miss,0:05:54.187167
Miss,0:05:54.354000
Miss,0:05:54.520833
Miss,0:05:54.687667
Miss,0:05:54.854500
Miss,0:05:55.021333
Miss,0:05:55.188167
Miss,0:05:55.355000
Miss,0:05:55.521833
Miss,0:05:55.688667
Ardle,0:06:09.535833
Ardle,0:06:09.702667
Ardle,0:06:09.869500
Ardle,0:06:10.036333
Ardle,0:06:10.203167
Ardle,0:06:10.370000
Ardle,0:06:10.536833
Ardle,0:06:10.703667
Ardle,0:06:10.870500
Ardle,0:06:11.037333
Ardle,0:06:11.204167
Ardle,0:06:13.373000
Ardle,0:06:13.539833
Ardle,0:06:13.706667
Ardle,0:06:13.873500
Ardle,0:06:14.040333
Ardle,0:06:14.207167
Ardle,0:06:14.374000
Ardle,0:06:14.540833
Ardle,0:06:14.707667
Ardle,0:06:14.874500
Ardle,0:06:15.041333
Ardle,0:06:15.208167
Ardle,0:06:15.375000
Miss,0:06:17.210167
Miss,0:06:17.377000
Miss,0:06:17.543833
Miss,0:06:17.710667
Miss,0:06:17.877500
Miss,0:06:18.044333
Miss,0:06:18.211167
Miss,0:06:18.378000
Miss,0:06:18.544833
Miss,0:06:18.711667
Miss,0:06:18.878500
Miss,0:06:19.045333
Miss,0:06:19.212167
Miss,0:06:19.379000
Miss,0:06:19.545833
Miss,0:06:19.712667
Miss,0:06:19.879500
Miss,0:06:20.046333
Miss,0:06:20.213167
Miss,0:06:20.380000
Miss,0:06:20.546833
Boy_Friend,0:06:24.717667
Boy_Friend,0:06:24.884500
Boy_Friend,0:06:25.051333
Boy_Friend,0:06:25.218167
Boy_Friend,0:06:25.385000
Boy_Friend,0:06:25.551833
Boy_Friend,0:06:25.718667
Boy_Friend,0:06:25.885500
Boy_Friend,0:06:26.052333
Boy_Friend,0:06:26.219167
Boy_Friend,0:06:26.386000
Boy_Friend,0:06:26.552833
Boy_Friend,0:06:26.719667
Boy_Friend,0:06:26.886500
Boy_Friend,0:06:27.053333
Boy_Friend,0:06:27.220167
Boy_Friend,0:06:27.387000
Boy_Friend,0:06:27.553833
Boy_Friend,0:06:27.720667
Boy_Friend,0:06:27.887500
Boy_Friend,0:06:28.054333
Boy_Friend,0:06:28.221167
Boy_Friend,0:06:28.388000
Boy_Friend,0:06:28.554833
Boy_Friend,0:06:28.721667
Boy_Friend,0:06:28.888500
Boy_Friend,0:06:29.055333
Boy_Friend,0:06:29.222167
Boy_Friend,0:06:29.389000
Boy_Friend,0:06:29.555833
Boy_Friend,0:06:29.722667
Boy_Friend,0:06:29.889500
Boy_Friend,0:06:30.056333
Boy_Friend,0:06:30.223167
Boy_Friend,0:06:30.390000
Boy_Friend,0:06:30.556833
Boy_Friend,0:06:30.723667
Boy_Friend,0:06:30.890500
Boy_Friend,0:06:31.057333
Boy_Friend,0:06:31.224167
Boy_Friend,0:06:31.391000
Boy_Friend,0:06:31.557833
Boy_Friend,0:06:31.724667
Boy_Friend,0:06:31.891500
Boy_Friend,0:06:32.058333
Boy_Friend,0:06:32.225167
Boy_Friend,0:06:32.392000
Boy_Friend,0:06:32.558833
Boy_Friend,0:06:32.725667
Boy_Friend,0:06:32.892500
Boy_Friend,0:06:33.059333
Boy_Friend,0:06:33.226167
Boy_Friend,0:06:33.393000
Boy_Friend,0:06:33.559833
Boy_Friend,0:06:33.726667
Boy_Friend,0:06:33.893500
Boy_Friend,0:06:34.060333
Boy_Friend,0:06:34.227167
Boy_Friend,0:06:34.394000
Ardle,0:06:34.560833
Ardle,0:06:34.727667
Ardle,0:06:34.894500
Ardle,0:06:35.061333
Ardle,0:06:35.228167
Ardle,0:06:35.395000
Ardle,0:06:35.561833
Ardle,0:06:35.728667
Ardle,0:06:35.895500
Ardle,0:06:36.062333
Ardle,0:06:39.232167
Ardle,0:06:39.399000
Ardle,0:06:39.565833
Ardle,0:06:39.732667
Ardle,0:06:39.899500
Ardle,0:06:40.066333
Ardle,0:06:40.233167
Ardle,0:06:40.400000
Ardle,0:06:40.566833
Ardle,0:06:40.733667
Ardle,0:06:40.900500
Ardle,0:06:41.067333
Ardle,0:06:41.234167
Ardle,0:06:41.401000
Ardle,0:06:41.567833
Ardle,0:06:41.734667
Ardle,0:06:41.901500
Ardle,0:06:42.068333
Ardle,0:06:42.235167
Ardle,0:06:42.402000
Ardle,0:06:42.568833
Ardle,0:06:42.735667
Ardle,0:06:42.902500
Ardle,0:06:43.069333
Boy_Friend,0:06:43.236167
Boy_Friend,0:06:43.403000
Boy_Friend,0:06:43.569833
Boy_Friend,0:06:43.736667
Boy_Friend,0:06:43.903500
Boy_Friend,0:06:44.070333
Boy_Friend,0:06:44.237167
Boy_Friend,0:06:44.404000
Boy_Friend,0:06:44.570833
Boy_Friend,0:06:44.737667
Boy_Friend,0:06:44.904500
Boy_Friend,0:06:45.071333
Boy_Friend,0:06:45.238167
Boy_Friend,0:06:45.405000
Boy_Friend,0:06:45.571833
Boy_Friend,0:06:45.738667
Boy_Friend,0:06:45.905500
Ardle,0:06:46.072333
Ardle,0:06:46.239167
Ardle,0:06:46.406000
Ardle,0:06:46.572833
Ardle,0:06:46.739667
Ardle,0:06:46.906500
Ardle,0:06:47.073333
Ardle,0:06:47.240167
Ardle,0:06:47.407000
Ardle,0:06:47.573833
Ardle,0:06:47.740667
Ardle,0:06:47.907500
Ardle,0:06:48.074333
Ardle,0:06:48.241167
Boy_Friend,0:06:48.408000
Boy_Friend,0:06:48.574833
Boy_Friend,0:06:48.741667
